,zip,temperature,datetime,lat,long,elevation
0,90210,60°F,06 Nov 7:51 pm PST,34.01583°N,118.45139°W,174ft
1,20052,47°F,6 Nov 10:52 pm EST,38.85°N,77.03°W,13ft
2,20051,47°F,6 Nov 10:52 pm EST,38.85°N,77.03°W,13ft
3,20050,47°F,6 Nov 10:52 pm EST,38.85°N,77.03°W,13ft
4,20001,47°F,6 Nov 10:52 pm EST,38.85°N,77.03°W,13ft
5,20005,47°F,6 Nov 10:52 pm EST,38.85°N,77.03°W,13ft
6,20009,47°F,6 Nov 10:52 pm EST,38.85°N,77.03°W,13ft
7,20013,47°F,6 Nov 10:52 pm EST,38.85°N,77.03°W,13ft
8,20018,39°F,6 Nov 11:03 pm EST,38.98°N,76.92°W,49ft
9,20023,47°F,6 Nov 10:52 pm EST,38.85°N,77.03°W,13ft
10,20029,47°F,6 Nov 10:52 pm EST,38.85°N,77.03°W,13ft
11,20035,47°F,6 Nov 10:52 pm EST,38.85°N,77.03°W,13ft
12,20039,39°F,6 Nov 11:03 pm EST,38.98°N,76.92°W,49ft
13,20044,47°F,6 Nov 10:52 pm EST,38.85°N,77.03°W,13ft
