rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__l1_ratio,params,split0_test_score,split0_train_score
1,-0.3328742698991025,0.0,-0.9981299822674333,0.0,192.48771929740906,0.0,0.026706933975219727,0.0,0.1,0.0,"{'model__alpha': 0.1, 'model__l1_ratio': 0.0}",-0.3328742698991025,-0.9981299822674333
2,-0.3333340279482025,0.0,-0.9985559593373371,0.0,193.42117977142334,0.0,0.015768051147460938,0.0,1,0.0,"{'model__alpha': 1, 'model__l1_ratio': 0.0}",-0.3333340279482025,-0.9985559593373371
3,-0.33439460304050767,0.0,-0.9996167691340175,0.0,94.9919741153717,0.0,0.01371002197265625,0.0,10,0.0,"{'model__alpha': 10, 'model__l1_ratio': 0.0}",-0.33439460304050767,-0.9996167691340175
4,-0.3347570959670875,0.0,-0.9999999999999998,0.0,0.8610138893127441,0.0,0.02922987937927246,0.0,0.1,0.5,"{'model__alpha': 0.1, 'model__l1_ratio': 0.5}",-0.3347570959670875,-0.9999999999999998
4,-0.3347570959670875,0.0,-0.9999999999999998,0.0,1.2725372314453125,0.0,0.028172016143798828,0.0,0.1,1.0,"{'model__alpha': 0.1, 'model__l1_ratio': 1.0}",-0.3347570959670875,-0.9999999999999998
4,-0.3347570959670875,0.0,-0.9999999999999998,0.0,1.0785479545593262,0.0,0.02899909019470215,0.0,1,0.5,"{'model__alpha': 1, 'model__l1_ratio': 0.5}",-0.3347570959670875,-0.9999999999999998
4,-0.3347570959670875,0.0,-0.9999999999999998,0.0,1.2005681991577148,0.0,0.030488014221191406,0.0,1,1.0,"{'model__alpha': 1, 'model__l1_ratio': 1.0}",-0.3347570959670875,-0.9999999999999998
4,-0.3347570959670875,0.0,-0.9999999999999998,0.0,1.0032708644866943,0.0,0.027296066284179688,0.0,10,0.5,"{'model__alpha': 10, 'model__l1_ratio': 0.5}",-0.3347570959670875,-0.9999999999999998
4,-0.3347570959670875,0.0,-0.9999999999999998,0.0,1.0205178260803223,0.0,0.024734973907470703,0.0,10,1.0,"{'model__alpha': 10, 'model__l1_ratio': 1.0}",-0.3347570959670875,-0.9999999999999998
